IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
146365,Withrow University High School,High School,Public School,Hamilton,"2488 Madison Rd, Cincinnati, Ohio, 45208",43752
146373,Toledo Technology Academy High School,High School,Public School,Lucas,"3301 Upton Ave, Toledo, Ohio, 43613",44909
146381,Eastern Primary Elementary School,Elementary School,Public School,Pike,"1170 Tile Mill Rd, Beaver, Ohio, 45613",49122
146399,Eastern Intermediate Elementary School,Elementary School,Public School,Pike,"1170 Tile Mill Rd, Beaver, Ohio, 45613",49122
146407,Eastern Middle School,Middle School,Public School,Pike,"1170 Tile Mill Rd, Beaver, Ohio, 45613",49122
146464,Rock Hill Elementary School,Elementary School,Public School,Lawrence,"2676 County Road 26, Ironton, Ohio, 45638",47944
146472,Rock Hill Middle School,Middle School,Public School,Lawrence,"2171 County Road 26, Ironton, Ohio, 45638",47944
146480,Rock Hill Sr High School,High School,Public School,Lawrence,"2415 County Road 26, Ironton, Ohio, 45638",47944
146837,VanGorden Elementary School,Elementary School,Public School,Butler,"6475 LeSourdsville West Chester Rd., Liberty Township, Ohio, 45011",46110
146845,Lakota Plains Junior School,Junior High School,Public School,Butler,"5500 Princeton Road, Liberty Township, Ohio, 45011",46110
146860,Olentangy Orange Middle School,Middle School,Public School,Delaware,"2680 E Orange Rd, Lewis Center, Ohio, 43035",46763
146878,Indian Springs Elementary,Elementary School,Public School,Delaware,"3828 Home Rd, Powell, Ohio, 43065",46763
146886,Walnut Creek Elementary,Elementary School,Public School,Delaware,"5600 Grand Oak Blvd, Galena, Ohio, 43021",46763
146928,Dublin Jerome High School,High School,Public School,Franklin,"8300 Hyland Croy Rd, Dublin, Ohio, 43016",47027
146936,Buckeye Central Elementary School,Elementary School,Public School,Crawford,"938 S Kibler St, New Washington, Ohio, 44854",46508
147215,New Albany Early Learning Center,Elementary School,Public School,Franklin,"5101 Swickard Woods Blvd, New Albany, Ohio, 43054",46995
147231,Schnee Learning Center,High School,Community School,Summit,"2222 Issaquah St, Cuyahoga Falls, Ohio, 44221",46532
147231,Schnee Learning Center,Community School Conversion,Community School,Summit,"2222 Issaquah St, Cuyahoga Falls, Ohio, 44221",46532
147231,Schnee Learning Center,Dropout Recovery,Community School,Summit,"2222 Issaquah St, Cuyahoga Falls, Ohio, 44221",46532
147231,Schnee Learning Center,Blended School,Community School,Summit,"2222 Issaquah St, Cuyahoga Falls, Ohio, 44221",46532
147280,Rees E. Price Elementary School,Elementary School,Public School,Hamilton,"1228 Considine Ave, Cincinnati, Ohio, 45204",43752
147397,Cleveland School of Science & Medicine,High School,Public School,Cuyahoga,"2075 Stokes Blvd, Cleveland, Ohio, 44106",43786
147520,Woodward Career Technical High School ,High School,Public School,Hamilton,"7005 Reading Rd, Cincinnati, Ohio, 45237",43752
147538,Aiken High School ,High School,Public School,Hamilton,"5641 Belmont Ave, Cincinnati, Ohio, 45224",43752
147587,Patrick Henry Middle School,Middle School,Public School,Henry,"E050 County Road 7, Hamler, Ohio, 43524",47597
147603,William H. Taft Elementary School,Elementary School,Public School,Marion,"1000 Robinson St, Marion, Ohio, 43302",44339
147611,James A. Garfield Elementary School,Elementary School,Public School,Marion,"1170 Brookside Rd, Marion, Ohio, 43302",44339
